m/z,intensity
601.321136474609,711046
602.324890136719,236666
603.327331542969,42952
604.101593017578,19748
606.965606689453,215584
608.9208984375,8800
610.083374023438,9530
610.250244140625,2912
610.894287109375,15710
610.984313964844,24186
611.074645996094,30430
611.167846679688,16828
612.813842773438,2526
612.894958496094,10888
612.9853515625,32046
613.076110839844,45018
613.169738769531,33308
613.260437011719,14010
615.336090087891,5558
615.79638671875,16044
615.940856933594,16548
616.080932617188,16582
619.079345703125,8500
619.170349121094,50676
619.261199951172,72986
619.352233886719,73694
619.443298339844,62604
619.534759521484,47152
619.626495361328,20346
619.716125488281,2596
621.170593261719,5524
621.260955810547,51264
621.35205078125,77262
621.442932128906,90580
621.534759521484,85320
621.626678466797,71106
621.717895507812,55938
621.809265136719,33672
621.900329589844,23266
621.990783691406,5670
622.083618164062,2752
622.477355957031,2556
622.807312011719,6738
622.897766113281,59390
622.989227294922,722118
623.080017089844,1858610
623.171173095703,2780414
623.262390136719,2953126
623.353332519531,2501586
623.444274902344,1824832
623.535400390625,1154666
623.626617431641,646380
623.717712402344,328516
623.808258056641,150172
623.8544921875,2510
623.899841308594,66970
623.984619140625,36554
624.077026367188,59164
624.174560546875,61922
624.275970458984,56022
624.3759765625,44486
624.4755859375,27942
624.536254882812,2712
624.575378417969,22320
624.626525878906,8516
624.717041015625,19722
624.808898925781,22844
624.899169921875,8048
624.976013183594,146286
625.078735351562,8792
625.170471191406,2554
627.169921875,8270
627.262512207031,5238
627.352966308594,2612
629.352600097656,57402
630.355194091797,17874
646.58642578125,8352
646.755981445312,9150
646.866333007812,2584
647.883544921875,35024
647.984436035156,109178
648.084533691406,172176
648.185119628906,168414
648.284912109375,126026
648.385131835938,78634
648.485717773438,48370
648.533172607422,18988
648.585784912109,30528
648.646423339844,52626
648.685913085938,2698
648.7578125,74756
648.851867675781,133276
648.979309082031,35280
649.101196289062,139222
649.351806640625,30536
649.602325439453,5690
651.785949707031,12740
651.88671875,55730
651.930480957031,7752
651.986724853516,77308
652.091522216797,128430
652.186828613281,71572
652.294006347656,90542
652.387023925781,17592
652.496307373047,45096
652.585815429688,2700
652.697113037109,5508
653.282592773438,6034
656.444702148438,35724
