"","sample","ground_truth","z","mz","spectrum_type","intensity","scaling_factor"
"1","prop0_id1",0,5,1371.58526611328,"mix",0.00129281757110146,1
"2","prop0_id1",0,5,1371.58526611328,"flp",0,0.998540486820204
"3","prop0_id1",0,5,1371.58526611328,"imp",0.12586337418284,0.00145951317979609
"4","prop0_id1",0,5,1371.58526611328,"residuals",0.001109118317628,1
"5","prop0_id1",0,5,1371.78479003906,"mix",0.044621072008613,1
"6","prop0_id1",0,5,1371.78479003906,"flp",0.0452747245840491,0.998540486820204
"7","prop0_id1",0,5,1371.78479003906,"imp",0.188341240876768,0.00145951317979609
"8","prop0_id1",0,5,1371.78479003906,"residuals",-0.000862460041552798,1
"9","prop0_id1",0,5,1371.98571777344,"mix",0.119172935829109,1
"10","prop0_id1",0,5,1371.98571777344,"flp",0.120465249546316,0.998540486820204
"11","prop0_id1",0,5,1371.98571777344,"imp",0.204021749469439,0.00145951317979609
"12","prop0_id1",0,5,1371.98571777344,"residuals",-0.00141426553010174,1
"13","prop0_id1",0,5,1372.18603515625,"mix",0.179971436150529,1
"14","prop0_id1",0,5,1372.18603515625,"flp",0.180144332347771,0.998540486820204
"15","prop0_id1",0,5,1372.18603515625,"imp",0.176977511450496,0.00145951317979609
"16","prop0_id1",0,5,1372.18603515625,"residuals",-0.000168274180403744,1
"17","prop0_id1",0,5,1372.38647460938,"mix",0.19333728580459,1
"18","prop0_id1",0,5,1372.38647460938,"flp",0.194970993411771,0.998540486820204
"19","prop0_id1",0,5,1372.38647460938,"imp",0.129681915678901,0.00145951317979609
"20","prop0_id1",0,5,1372.38647460938,"residuals",-0.00153841733773308,1
"21","prop0_id1",0,5,1372.58679199219,"mix",0.168904601612185,1
"22","prop0_id1",0,5,1372.58679199219,"flp",0.168951811135931,0.998540486820204
"23","prop0_id1",0,5,1372.58679199219,"imp",0.0829639566426751,0.00145951317979609
"24","prop0_id1",0,5,1372.58679199219,"residuals",7.82908831898077e-05,1
"25","prop0_id1",0,5,1372.78747558594,"mix",0.123178095372001,1
"26","prop0_id1",0,5,1372.78747558594,"flp",0.12365864818148,0.998540486820204
"27","prop0_id1",0,5,1372.78747558594,"imp",0.0473832199513889,0.00145951317979609
"28","prop0_id1",0,5,1372.78747558594,"residuals",-0.000369227816682013,1
"29","prop0_id1",0,5,1372.98706054688,"mix",0.0790208289966412,1
"30","prop0_id1",0,5,1372.98706054688,"flp",0.0790119599391722,0.998540486820204
"31","prop0_id1",0,5,1372.98706054688,"imp",0.0245494389018102,0.00145951317979609
"32","prop0_id1",0,5,1372.98706054688,"residuals",8.83578247280331e-05,1
"33","prop0_id1",0,5,1373.18725585938,"mix",0.0456107619733174,1
"34","prop0_id1",0,5,1373.18725585938,"flp",0.0450661169611538,0.998540486820204
"35","prop0_id1",0,5,1373.18725585938,"imp",0.0116781072731016,0.00145951317979609
"36","prop0_id1",0,5,1373.18725585938,"residuals",0.000593375252350446,1
"37","prop0_id1",0,5,1373.38720703125,"mix",0.0228702003255371,1
"38","prop0_id1",0,5,1373.38720703125,"flp",0.0233161715077407,0.998540486820204
"39","prop0_id1",0,5,1373.38720703125,"imp",0.00514861558119549,0.00145951317979609
"40","prop0_id1",0,5,1373.38720703125,"residuals",-0.0004194553948841,1
"41","prop0_id1",0,5,1373.58728027344,"mix",0.0111111309400359,1
"42","prop0_id1",0,5,1373.58728027344,"flp",0.0110751363752045,0.998540486820204
"43","prop0_id1",0,5,1373.58728027344,"imp",0.002119600900853,0.00145951317979609
"44","prop0_id1",0,5,1373.58728027344,"residuals",4.90652868883959e-05,1
"45","prop0_id1",0,5,1373.78735351562,"mix",0.00522665672047798,1
"46","prop0_id1",0,5,1373.78735351562,"flp",0.00487529746280148,0.998540486820204
"47","prop0_id1",0,5,1373.78735351562,"imp",0.000819838340690942,0.00145951317979609
"48","prop0_id1",0,5,1373.78735351562,"residuals",0.00035727825371534,1
"49","prop0_id1",0,5,1373.98779296875,"mix",0.00259175378186106,1
"50","prop0_id1",0,5,1373.98779296875,"flp",0.00200388878416288,0.998540486820204
"51","prop0_id1",0,5,1373.98779296875,"imp",0.000299455519375585,0.00145951317979609
"52","prop0_id1",0,5,1373.98779296875,"residuals",0.000590352640512222,1
"53","prop0_id1",0,5,1374.189453125,"mix",0.001300784549823,1
"54","prop0_id1",0,5,1374.189453125,"flp",0.000773807399911628,0.998540486820204
"55","prop0_id1",0,5,1374.189453125,"imp",0.000103739326272518,0.00145951317979609
"56","prop0_id1",0,5,1374.189453125,"residuals",0.000527955123096208,1
"57","prop0_id1",0,5,1374.38757324219,"mix",0.000817029601851194,1
"58","prop0_id1",0,5,1374.38757324219,"flp",0.000282162683733519,0.998540486820204
"59","prop0_id1",0,5,1374.38757324219,"imp",3.42113181709313e-05,0.00145951317979609
"60","prop0_id1",0,5,1374.38757324219,"residuals",0.000535228806403663,1
"61","prop0_id1",0,5,1374.58721923828,"mix",0.000685988735839333,1
"62","prop0_id1",0,5,1374.58721923828,"flp",9.75779691304762e-05,0.998540486820204
"63","prop0_id1",0,5,1374.58721923828,"imp",1.07746967456013e-05,0.00145951317979609
"64","prop0_id1",0,5,1374.58721923828,"residuals",0.000588537457228952,1
"65","prop0_id1",0,5,1374.78039550781,"mix",0.000286620026486061,1
"66","prop0_id1",0,5,1374.78039550781,"flp",3.21217096720352e-05,0.998540486820204
"67","prop0_id1",0,5,1374.78039550781,"imp",3.24988927550081e-06,0.00145951317979609
"68","prop0_id1",0,5,1374.78039550781,"residuals",0.00025454045561642,1
"69","prop0_id1",0,6,1142.65563964844,"mix",0.000566061974778164,1
"70","prop0_id1",0,6,1142.65563964844,"flp",0,0.996426436585807
"71","prop0_id1",0,6,1142.65563964844,"imp",0.0451590611818533,0.0035735634141929
"72","prop0_id1",0,6,1142.65563964844,"residuals",0.000404683205919394,1
"73","prop0_id1",0,6,1142.81884765625,"mix",0.0014166787867378,1
"74","prop0_id1",0,6,1142.81884765625,"flp",0,0.996426436585807
"75","prop0_id1",0,6,1142.81884765625,"imp",0.120179892938908,0.0035735634141929
"76","prop0_id1",0,6,1142.81884765625,"residuals",0.000987208318209698,1
"77","prop0_id1",0,6,1142.98645019531,"mix",0.0448619064171051,1
"78","prop0_id1",0,6,1142.98645019531,"flp",0.0452761789323238,0.996426436585807
"79","prop0_id1",0,6,1142.98645019531,"imp",0.179836511705699,0.0035735634141929
"80","prop0_id1",0,6,1142.98645019531,"residuals",-0.000895132397419257,1
"81","prop0_id1",0,6,1143.15356445312,"mix",0.119316744331568,1
"82","prop0_id1",0,6,1143.15356445312,"flp",0.120469119220388,0.996426436585807
"83","prop0_id1",0,6,1143.15356445312,"imp",0.194808951910243,0.0035735634141929
"84","prop0_id1",0,6,1143.15356445312,"residuals",-0.00141803299513739,1
"85","prop0_id1",0,6,1143.32067871094,"mix",0.177785356305015,1
"86","prop0_id1",0,6,1143.32067871094,"flp",0.180150119077593,0.996426436585807
"87","prop0_id1",0,6,1143.32067871094,"imp",0.168985922368628,0.0035735634141929
"88","prop0_id1",0,6,1143.32067871094,"residuals",-0.00232486680766966,1
"89","prop0_id1",0,6,1143.48754882812,"mix",0.19473712433727,1
"90","prop0_id1",0,6,1143.48754882812,"flp",0.194977256414594,0.996426436585807
"91","prop0_id1",0,6,1143.48754882812,"imp",0.123826004535382,0.0035735634141929
"92","prop0_id1",0,6,1143.48754882812,"residuals",1.41314332651188e-05,1
"93","prop0_id1",0,6,1143.65478515625,"mix",0.16757822461083,1
"94","prop0_id1",0,6,1143.65478515625,"flp",0.168957238331287,0.996426436585807
"95","prop0_id1",0,6,1143.65478515625,"imp",0.0792176396973176,0.0035735634141929
"96","prop0_id1",0,6,1143.65478515625,"residuals",-0.00105832357397451,1
"97","prop0_id1",0,6,1143.82159423828,"mix",0.123659484769025,1
"98","prop0_id1",0,6,1143.82159423828,"flp",0.123662620436271,0.996426436585807
"99","prop0_id1",0,6,1143.82159423828,"imp",0.0452435852592534,0.0035735634141929
"100","prop0_id1",0,6,1143.82159423828,"residuals",0.00027709972783925,1
"101","prop0_id1",0,6,1143.98840332031,"mix",0.0786786409111619,1
"102","prop0_id1",0,6,1143.98840332031,"flp",0.0790144980199374,0.996426436585807
"103","prop0_id1",0,6,1143.98840332031,"imp",0.0234408854687455,0.0035735634141929
"104","prop0_id1",0,6,1143.98840332031,"residuals",-0.000137261280168097,1
"105","prop0_id1",0,6,1144.15539550781,"mix",0.0450890564823606,1
"106","prop0_id1",0,6,1144.15539550781,"flp",0.0450675646083798,0.996426436585807
"107","prop0_id1",0,6,1144.15539550781,"imp",0.011150771151039,0.0035735634141929
"108","prop0_id1",0,6,1144.15539550781,"residuals",0.000142695686206673,1
"109","prop0_id1",0,6,1144.32232666016,"mix",0.0235306326599975,1
"110","prop0_id1",0,6,1144.32232666016,"flp",0.023316920487091,0.996426436585807
"111","prop0_id1",0,6,1144.32232666016,"imp",0.00491612491202407,0.0035735634141929
"112","prop0_id1",0,6,1144.32232666016,"residuals",0.000279468582765546,1
"113","prop0_id1",0,6,1144.48876953125,"mix",0.011334124706466,1
"114","prop0_id1",0,6,1144.48876953125,"flp",0.0110754921389474,0.996426436585807
"115","prop0_id1",0,6,1144.48876953125,"imp",0.00202388829150312,0.0035735634141929
"116","prop0_id1",0,6,1144.48876953125,"residuals",0.000290979047867573,1
"117","prop0_id1",0,6,1144.65515136719,"mix",0.00546811315375567,1
"118","prop0_id1",0,6,1144.65515136719,"flp",0.00487545407072166,0.996426436585807
"119","prop0_id1",0,6,1144.65515136719,"imp",0.000782817754975477,0.0035735634141929
"120","prop0_id1",0,6,1144.65515136719,"residuals",0.000607284378439559,1
"121","prop0_id1",0,6,1144.82177734375,"mix",0.00258911724345989,1
"122","prop0_id1",0,6,1144.82177734375,"flp",0.00200395315456431,0.996426436585807
"123","prop0_id1",0,6,1144.82177734375,"imp",0.000285933318506485,0.0035735634141929
"124","prop0_id1",0,6,1144.82177734375,"residuals",0.000591303541726573,1
"125","prop0_id1",0,6,1144.9892578125,"mix",0.00151513105686892,1
"126","prop0_id1",0,6,1144.9892578125,"flp",0.000773832256726714,0.996426436585807
"127","prop0_id1",0,6,1144.9892578125,"imp",9.90548776077974e-05,0.0035735634141929
"128","prop0_id1",0,6,1144.9892578125,"residuals",0.000743710159896948,1
"129","prop0_id1",0,6,1145.15270996094,"mix",0.00104551527148252,1
"130","prop0_id1",0,6,1145.15270996094,"flp",0.000282171747572472,0.996426436585807
"131","prop0_id1",0,6,1145.15270996094,"imp",3.26664733229596e-05,0.0035735634141929
"132","prop0_id1",0,6,1145.15270996094,"residuals",0.000764235146829755,1
"133","prop0_id1",0,6,1145.31982421875,"mix",0.000828086982117719,1
"134","prop0_id1",0,6,1145.31982421875,"flp",9.75811036023556e-05,0.996426436585807
"135","prop0_id1",0,6,1145.31982421875,"imp",1.02881549914154e-05,0.0035735634141929
"136","prop0_id1",0,6,1145.31982421875,"residuals",0.000730817825402836,1
"137","prop0_id1",0,7,979.274749755859,"mix",0.00068569669793947,1
"138","prop0_id1",0,7,979.274749755859,"flp",0,0.997289957463181
"139","prop0_id1",0,7,979.274749755859,"imp",0.0451589210475159,0.00271004253681895
"140","prop0_id1",0,7,979.274749755859,"residuals",0.000563314100983854,1
"141","prop0_id1",0,7,979.416381835938,"mix",0.00155138596222283,1
"142","prop0_id1",0,7,979.416381835938,"flp",0,0.997289957463181
"143","prop0_id1",0,7,979.416381835938,"imp",0.120179520005344,0.00271004253681895
"144","prop0_id1",0,7,979.416381835938,"residuals",0.00122569435095386,1
"145","prop0_id1",0,7,979.55859375,"mix",0.0455410693111302,1
"146","prop0_id1",0,7,979.55859375,"flp",0.0452747245840491,0.997289957463181
"147","prop0_id1",0,7,979.55859375,"imp",0.179835953650023,0.00271004253681895
"148","prop0_id1",0,7,979.55859375,"residuals",-9.8321927494309e-05,1
"149","prop0_id1",0,7,979.701904296875,"mix",0.117781227168667,1
"150","prop0_id1",0,7,979.701904296875,"flp",0.120465249546316,0.997289957463181
"151","prop0_id1",0,7,979.701904296875,"imp",0.194808347393173,0.00271004253681895
"152","prop0_id1",0,7,979.701904296875,"residuals",-0.00288549533513249,1
"153","prop0_id1",0,7,979.844848632812,"mix",0.176147801389573,1
"154","prop0_id1",0,7,979.844848632812,"flp",0.180144332347771,0.997289957463181
"155","prop0_id1",0,7,979.844848632812,"imp",0.168985397983717,0.00271004253681895
"156","prop0_id1",0,7,979.844848632812,"residuals",-0.00396628977140551,1
"157","prop0_id1",0,7,979.988098144531,"mix",0.194357841488008,1
"158","prop0_id1",0,7,979.988098144531,"flp",0.194970993411771,0.997289957463181
"159","prop0_id1",0,7,979.988098144531,"imp",0.123825620287467,0.00271004253681895
"160","prop0_id1",0,7,979.988098144531,"residuals",-0.000420344936298611,1
"161","prop0_id1",0,7,980.131225585938,"mix",0.169965120243167,1
"162","prop0_id1",0,7,980.131225585938,"flp",0.168951811135931,0.997289957463181
"163","prop0_id1",0,7,980.131225585938,"imp",0.079217393874859,0.00271004253681895
"164","prop0_id1",0,7,980.131225585938,"residuals",0.00125649319503099,1
"165","prop0_id1",0,7,980.2744140625,"mix",0.122752267028498,1
"166","prop0_id1",0,7,980.2744140625,"flp",0.12365864818148,0.997289957463181
"167","prop0_id1",0,7,980.2744140625,"imp",0.045243444862627,0.00271004253681895
"168","prop0_id1",0,7,980.2744140625,"residuals",-0.0006938726164539,1
"169","prop0_id1",0,7,980.417419433594,"mix",0.0774329003753437,1
"170","prop0_id1",0,7,980.417419433594,"flp",0.0790119599391722,0.997289957463181
"171","prop0_id1",0,7,980.417419433594,"imp",0.0234408127286825,0.00271004253681895
"172","prop0_id1",0,7,980.417419433594,"residuals",-0.00142845939106821,1
"173","prop0_id1",0,7,980.560272216797,"mix",0.0455909739197819,1
"174","prop0_id1",0,7,980.560272216797,"flp",0.0450661169611538,0.997289957463181
"175","prop0_id1",0,7,980.560272216797,"imp",0.0111507365487712,0.00271004253681895
"176","prop0_id1",0,7,980.560272216797,"residuals",0.000616769082198015,1
"177","prop0_id1",0,7,980.703430175781,"mix",0.0237463172560119,1
"178","prop0_id1",0,7,980.703430175781,"flp",0.0233161715077407,0.997289957463181
"179","prop0_id1",0,7,980.703430175781,"imp",0.00491610965666028,0.00271004253681895
"180","prop0_id1",0,7,980.703430175781,"residuals",0.000480010698567717,1
"181","prop0_id1",0,7,980.846771240234,"mix",0.0116489361560467,1
"182","prop0_id1",0,7,980.846771240234,"flp",0.0110751363752045,0.997289957463181
"183","prop0_id1",0,7,980.846771240234,"imp",0.00202388201111913,0.00271004253681895
"184","prop0_id1",0,7,980.846771240234,"residuals",0.00059832906518047,1
"185","prop0_id1",0,7,980.989318847656,"mix",0.00557229205987971,1
"186","prop0_id1",0,7,980.989318847656,"flp",0.00487529746280148,0.997289957463181
"187","prop0_id1",0,7,980.989318847656,"imp",0.000782815325791953,0.00271004253681895
"188","prop0_id1",0,7,980.989318847656,"residuals",0.000708085397750697,1
"189","prop0_id1",0,7,981.132080078125,"mix",0.00280340573141319,1
"190","prop0_id1",0,7,981.132080078125,"flp",0.00200388878416288,0.997289957463181
"191","prop0_id1",0,7,981.132080078125,"imp",0.00028593243121886,0.00271004253681895
"192","prop0_id1",0,7,981.132080078125,"residuals",0.000804172682043187,1
"193","prop0_id1",0,7,981.274627685547,"mix",0.00141984347775958,1
"194","prop0_id1",0,7,981.274627685547,"flp",0.000773807399911628,0.997289957463181
"195","prop0_id1",0,7,981.274627685547,"imp",9.90545702278547e-05,0.00271004253681895
"196","prop0_id1",0,7,981.274627685547,"residuals",0.000647864686718233,1
"197","prop0_id1",0,7,981.414794921875,"mix",0.00116017971968893,1
"198","prop0_id1",0,7,981.414794921875,"flp",0.000282162683733519,0.997289957463181
"199","prop0_id1",0,7,981.414794921875,"imp",3.26663719547187e-05,0.00271004253681895
"200","prop0_id1",0,7,981.414794921875,"residuals",0.000878693181573108,1
"201","prop0_id1",0,7,981.55859375,"mix",0.000947859783701216,1
"202","prop0_id1",0,7,981.55859375,"flp",9.75779691304762e-05,0.997289957463181
"203","prop0_id1",0,7,981.55859375,"imp",1.02881230659558e-05,0.00271004253681895
"204","prop0_id1",0,7,981.55859375,"residuals",0.000850518373766607,1
"205","prop0_id1",0,7,981.699157714844,"mix",0.000894882231167038,1
"206","prop0_id1",0,7,981.699157714844,"flp",3.21217096720352e-05,0.997289957463181
"207","prop0_id1",0,7,981.699157714844,"imp",3.1031277822953e-06,0.00271004253681895
"208","prop0_id1",0,7,981.699157714844,"residuals",0.000862839163086282,1
"209","prop0_id1",0,8,856.738250732422,"mix",0.000788662272739595,1
"210","prop0_id1",0,8,856.738250732422,"flp",0,0.987431718967855
"211","prop0_id1",0,8,856.738250732422,"imp",0.0451590611818533,0.012568281032145
"212","prop0_id1",0,8,856.738250732422,"residuals",0.000221090500658231,1
"213","prop0_id1",0,8,856.863037109375,"mix",0.00176113397349206,1
"214","prop0_id1",0,8,856.863037109375,"flp",0,0.987431718967855
"215","prop0_id1",0,8,856.863037109375,"imp",0.120179892938908,0.012568281032145
"216","prop0_id1",0,8,856.863037109375,"residuals",0.000250679304622758,1
"217","prop0_id1",0,8,856.987487792969,"mix",0.0452726238601413,1
"218","prop0_id1",0,8,856.987487792969,"flp",0.0452761789323238,0.987431718967855
"219","prop0_id1",0,8,856.987487792969,"imp",0.179836511705699,0.012568281032145
"220","prop0_id1",0,8,856.987487792969,"residuals",-0.00169474715025719,1
"221","prop0_id1",0,8,857.11279296875,"mix",0.119809570116623,1
"222","prop0_id1",0,8,857.11279296875,"flp",0.120469119220388,0.987431718967855
"223","prop0_id1",0,8,857.11279296875,"imp",0.194808951910243,0.012568281032145
"224","prop0_id1",0,8,857.11279296875,"residuals",-0.00159387301289313,1
"225","prop0_id1",0,8,857.238098144531,"mix",0.18134592196552,1
"226","prop0_id1",0,8,857.238098144531,"flp",0.180150119077593,0.987431718967855
"227","prop0_id1",0,8,857.238098144531,"imp",0.168985922368628,0.012568281032145
"228","prop0_id1",0,8,857.238098144531,"residuals",0.00133611764966318,1
"229","prop0_id1",0,8,857.363342285156,"mix",0.192973341626537,1
"230","prop0_id1",0,8,857.363342285156,"flp",0.194977256414594,0.987431718967855
"231","prop0_id1",0,8,857.363342285156,"imp",0.123826004535382,0.012568281032145
"232","prop0_id1",0,8,857.363342285156,"residuals",-0.00110966585865016,1
"233","prop0_id1",0,8,857.488647460938,"mix",0.167809107450432,1
"234","prop0_id1",0,8,857.488647460938,"flp",0.168957238331287,0.987431718967855
"235","prop0_id1",0,8,857.488647460938,"imp",0.0792176396973176,0.012568281032145
"236","prop0_id1",0,8,857.488647460938,"residuals",-2.02583855113958e-05,1
"237","prop0_id1",0,8,857.613891601562,"mix",0.121147294287162,1
"238","prop0_id1",0,8,857.613891601562,"flp",0.123662620436271,0.987431718967855
"239","prop0_id1",0,8,857.613891601562,"imp",0.0452435852592534,0.012568281032145
"240","prop0_id1",0,8,857.613891601562,"residuals",-0.00152973367673458,1
"241","prop0_id1",0,8,857.739013671875,"mix",0.0760541238956484,1
"242","prop0_id1",0,8,857.739013671875,"flp",0.0790144980199374,0.987431718967855
"243","prop0_id1",0,8,857.739013671875,"imp",0.0234408854687455,0.012568281032145
"244","prop0_id1",0,8,857.739013671875,"residuals",-0.00226190934377409,1
"245","prop0_id1",0,8,857.8642578125,"mix",0.0437992319026788,1
